movieId	title	genres	imdbId	averageRating	numVotes	directors	cast	movie_year
18	Four Rooms (1995)	Comedy	113101	6.7	111387	nm0025978|nm0734319|nm0001675|nm0000233|nm0005062	nm0000619|nm0000104|nm0205423|nm0004866|nm0000420	1995
19	Ace Ventura: When Nature Calls (1995)	Comedy	112281	6.4	234431	nm0644203	nm0000120|nm0573862|nm0001003|nm0264330|nm0348409	1995
20	Money Train (1995)	Action|Comedy|Crime|Drama|Thriller	113845	5.7	43290	nm0747849	nm0000648|nm0000437|nm0000182|nm0086706|nm0177933	1995
21	Get Shorty (1995)	Comedy|Crime|Thriller	113161	6.9	89532	nm0001756	nm0000432|nm0000623|nm0000362|nm0000237|nm0001199	1995
22	Copycat (1995)	Crime|Drama|Horror|Mystery|Thriller	112722	6.6	66286	nm0000750	nm0000244|nm0000456|nm0000551|nm0001530|nm0001065	1995
23	Assassins (1995)	Action|Crime|Thriller	112401	6.3	88417	nm0001149	nm0000230|nm0000104|nm0000194|nm0205863|nm0002901	1995
24	Powder (1995)	Drama|Sci-Fi	114168	6.6	32716	nm0759207	nm0005460|nm0001218|nm0000448|nm0000156|nm0807503	1995
25	Leaving Las Vegas (1995)	Drama|Romance	113627	7.5	135249	nm0001214	nm0000115|nm0000223|nm0001696|nm0507659|nm0001836	1995
26	Othello (1995)	Drama	114057	6.8	10202	nm0662529	nm0000401|nm0000110|nm0001393|nm0662511|nm0540585	1995
27	Now and Then (1995)	Children|Drama	114011	6.8	32588	nm0322128	nm0000207|nm0000193|nm0005280|nm0000301|nm0000429	1995
28	Persuasion (1995)	Drama|Romance	114117	7.7	11401	nm0585011	nm0740500|nm0001354|nm0281453|nm0714874|nm0789716	1995
29	City of Lost Children, The (Cit̩ des enfants perdus, La) (1995)	Adventure|Drama|Fantasy|Mystery|Sci-Fi	112682	7.5	71827	nm0001988|nm0000466	nm0000579|nm0256399|nm0900136|nm0684500|nm0684500	1995
30	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	Crime|Drama	115012	7.1	6038	nm0955443	nm0000084|nm0508349|nm0944507|nm0508554|nm0161158	1995
31	Dangerous Minds (1995)	Drama	112792	6.5	57266	nm0808807	nm0000201|nm0001169|nm0005524|nm0000862|nm0934656	1995
32	Twelve Monkeys (a.k.a. 12 Monkeys) (1995)	Mystery|Sci-Fi|Thriller	114746	8.0	648394	nm0000416	nm0000246|nm0000656|nm0000093|nm0577828|nm0781218	1995
34	Babe (1995)	Children|Drama	112431	6.9	134705	nm0003088	nm0000342|nm0844294|nm0004815|nm0546816|nm0542706	1995
36	Dead Man Walking (1995)	Crime|Drama	112818	7.5	102053	nm0000209	nm0000215|nm0000576|nm0698764|nm0000855|nm0000388	1995
38	It Takes Two (1995)	Children|Comedy	113442	5.9	24982	nm0855035	nm0000263|nm0000430|nm0001581|nm0001581|nm0001580	1995
39	Clueless (1995)	Comedy|Romance	112697	6.9	247512	nm0002132	nm0000224|nm0001107|nm0005261|nm0748620|nm0265668	1995
40	Cry, the Beloved Country (1995)	Drama	112749	6.8	2046	nm0740213	nm0001321|nm0000469|nm0475100|nm0001165|nm0917037	1995
41	Richard III (1995)	Drama|War	114279	7.3	15605	nm0518644	nm0005212|nm0000906|nm0100815|nm0223266|nm0665473	1995
42	Dead Presidents (1995)	Action|Crime|Drama	112819	6.9	24659	nm0400436|nm0400441	nm0005478|nm0202966|nm0000676|nm0135585|nm0414008	1995
43	Restoration (1995)	Drama	114272	6.6	9940	nm0001355	nm0000375|nm0000554|nm0000667|nm0908116|nm0000212	1995
44	Mortal Kombat (1995)	Action|Adventure|Fantasy	113855	5.8	124966	nm0027271	nm0000483|nm0795225|nm0000798|nm0846480|nm0933098	1995
45	To Die For (1995)	Comedy|Drama|Thriller	114681	6.8	53411	nm0001814	nm0000173|nm0000369|nm0001618|nm0000729|nm0001152	1995
46	How to Make an American Quilt (1995)	Drama|Romance	113347	6.3	12532	nm0602104	nm0000213|nm0000995|nm0000843|nm0185644|nm0185645	1995
47	Seven (a.k.a. Se7en) (1995)	Mystery|Thriller	114369	8.6	1808284	nm0000399	nm0000151|nm0000093|nm0000228|nm0001825|nm0669254	1995
48	Pocahontas (1995)	Animation|Children|Drama|Musical|Romance	114148	6.7	203793	nm0300265|nm0325196	nm0000154|nm0001373|nm0000288|nm0048589|nm0065942	1995
49	When Night Is Falling (1995)	Drama|Romance	114916	6.5	7449	nm0005390	nm0124481|nm0006692|nm0001089|nm0288944|nm0001528	1995
50	Usual Suspects, The (1995)	Crime|Mystery|Thriller	114814	8.5	1149452	nm0001741	nm0000228|nm0000321|nm0001590|nm0000286|nm0001125	1995
52	Mighty Aphrodite (1995)	Comedy|Drama|Romance	113819	7.0	42928	nm0000095	nm0000095|nm0000227|nm0086322|nm0147503|nm0149654	1995
53	Lamerica (1994)	Adventure|Drama	110299	7.4	2380	nm0002167	nm0516272|nm0686375|nm0587549|nm0224076|nm0418386	1994
54	Big Green, The (1995)	Children|Comedy	112499	5.5	11033	nm0805965	nm0000430|nm0001882|nm0761587|nm0856012|nm0503140	1995
55	Georgia (1995)	Drama	113158	6.5	3350	nm0343260	nm0000492|nm0001858|nm0505971|nm0001611|nm0230335	1995
57	Home for the Holidays (1995)	Drama	113321	6.6	14591	nm0000149	nm0000456|nm0000843|nm0000375|nm0001164|nm0001518	1995
58	Postman, The (Postino, Il) (1994)	Comedy|Drama|Romance	110877	7.8	39165	nm0705535|nm0873385	nm0873385|nm0634159|nm0002029|nm0769237|nm0604323	1994
60	Indian in the Cupboard, The (1995)	Adventure|Children|Fantasy	113419	6.0	31150	nm0000568	nm0769136|nm0514342|nm0001080|nm0420955|nm0080284	1995
61	Eye for an Eye (1996)	Drama|Thriller	116260	6.2	19004	nm0772259	nm0000398|nm0000662|nm0000438|nm0122466|nm0477363	1996
62	Mr. Holland's Opus (1995)	Drama	113862	7.3	41808	nm0378893	nm0000377|nm0000444|nm0858988|nm0001156|nm0000513	1995
63	Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)	Comedy|Crime	116126	6.5	61807	nm0054077	nm0915465|nm0005541|nm0005540|nm0429385|nm0817893	1996
64	Two if by Sea (1996)	Comedy|Romance	118002	5.3	6393	nm0071611	nm0000113|nm0001459|nm0226820|nm0001433|nm0823563	1996
65	Bio-Dome (1996)	Comedy	115683	4.4	29862	nm0089176	nm0001736|nm0000286|nm0040472|nm0236225|nm0866381	1996
66	Lawnmower Man 2: Beyond Cyberspace (1996)	Action|Sci-Fi|Thriller	116839	2.6	10316	nm0542752	nm0000920|nm0001242|nm0639432|nm0693531|nm0177914	1996
68	French Twist (Gazon maudit) (1995)	Comedy|Romance	113149	6.4	5372	nm0001929	nm0000721|nm0001929|nm0149260|nm0390458|nm0383153	1995
69	Friday (1995)	Comedy	113118	7.2	125210	nm0336620	nm0001084|nm0000676|nm0000505|nm0001474|nm0936762	1995
70	From Dusk Till Dawn (1996)	Action|Comedy|Horror|Thriller	116367	7.2	342181	nm0001675	nm0000172|nm0000123|nm0000496|nm0000233|nm0514918	1996
71	Fair Game (1995)	Action	113010	4.4	13888	nm0802617	nm0000287|nm0000340|nm0000925|nm0001520|nm0762153	1995
72	Kicking and Screaming (1995)	Comedy|Drama	113537	6.7	15248	nm0000876	nm0357979|nm0000655|nm0332489|nm0446070|nm0062263	1995
73	Mis̩rables, Les (1995)	Drama|War	113828	7.5	4086	nm0500988	nm0000901|nm0000901|nm0099378|nm0553402|nm0500992	1995
74	Bed of Roses (1996)	Drama|Romance	115644	6.1	8796	nm0325533	nm0000225|nm0000524|nm0781899|nm0000982|nm0850211	1996
75	Big Bully (1996)	Comedy|Drama	115676	4.8	5579	nm0591171	nm0001548|nm0000792|nm0680541|nm0001406|nm0001787	1996
76	Screamers (1995)	Action|Sci-Fi|Thriller	114367	6.3	29571	nm0240995	nm0000693|nm0001163|nm0748075|nm0490774|nm0694052	1995
77	Nico Icon (1995)	Documentary	113973	7.2	749	nm0644467		1995
78	Crossing Guard, The (1995)	Action|Crime|Drama|Thriller	112744	6.3	14507	nm0000576	nm0000197|nm0001556|nm0001378|nm0000705|nm0001453	1995
79	Juror, The (1996)	Drama|Thriller	116731	5.7	20038	nm0001270	nm0000193|nm0000285|nm0330687|nm0001254|nm0001080	1996
80	White Balloon, The (Badkonake sefid) (1995)	Children|Drama	112445	7.6	8279	nm0070159	nm0595869|nm0435760|nm0649746|nm0096941|nm0787512	1995
81	Things to Do in Denver When You're Dead (1995)	Crime|Drama|Romance	114660	6.7	29881	nm0001219	nm0000412|nm0000686|nm0000502|nm0001235|nm0638056	1995
82	Antonia's Line (Antonia) (1995)	Comedy|Drama	112379	7.4	9499	nm0331296	nm0002168|nm0213912|nm0887675|nm0234579|nm0342869	1995
83	Once Upon a Time... When We Were Colored (1995)	Drama|Romance	114039	7.4	564	nm0005347	nm0293272|nm0711118|nm0502442|nm0446780|nm0724757	1995
85	Angels and Insects (1995)	Drama|Romance	112365	6.8	4850	nm0351993	nm0753314|nm0000218|nm0000475|nm0447305|nm0378112	1995
86	White Squall (1996)	Action|Adventure|Drama	118158	6.6	25512	nm0000631	nm0000313|nm0328751|nm0001698|nm0937930|nm0005438	1996
87	Dunston Checks In (1996)	Children|Comedy	116151	5.4	13446	nm0477129	nm0004517|nm0001159|nm0005156|nm0000391|nm0755228	1996
88	Black Sheep (1996)	Comedy	115697	6.2	43812	nm0790715	nm0000394|nm0005450|nm0001513|nm0002056|nm0000997	1996
89	Nick of Time (1995)	Action|Thriller	113972	6.3	45290	nm0000824	nm0000136|nm0000686|nm0153733|nm0001165|nm0005173	1995
92	Mary Reilly (1996)	Drama|Horror|Thriller	117002	5.8	15848	nm0001241	nm0000210|nm0000518|nm0000518|nm0170552|nm0002091	1996
93	Vampire in Brooklyn (1995)	Comedy|Horror|Romance	114825	4.6	25174	nm0000127	nm0000552|nm0000552|nm0000552|nm0000291|nm0005300	1995
94	Beautiful Girls (1996)	Comedy|Drama|Romance	115639	7.1	34879	nm0001130	nm0000369|nm0000459|nm0001187|nm0001272|nm0000452	1996
95	Broken Arrow (1996)	Action|Adventure|Thriller	115759	6.1	105598	nm0000247	nm0000237|nm0000225|nm0000526|nm0005148|nm0348409	1996
96	In the Bleak Midwinter (1995)	Comedy|Drama	113403	7.2	2784	nm0000110	nm0540585|nm0001972|nm0153381|nm0001058|nm0268297	1995
97	Hate (Haine, La) (1995)	Crime|Drama	113247	8.1	197832	nm0440913	nm0001993|nm0468003|nm0846548|nm0315760|nm0813217	1995
99	Heidi Fleiss: Hollywood Madam (1995)	Documentary	113283	6.6	841	nm0112374	nm0112374|nm3189486|nm0001959	1995
100	City Hall (1996)	Drama|Thriller	115907	6.2	22520	nm0000887	nm0000199|nm0000131|nm0000403|nm0000732|nm0001445	1996
101	Bottle Rocket (1996)	Adventure|Comedy|Crime|Romance	115734	6.9	83773	nm0027572	nm0005561|nm0005562|nm0235684|nm0288800|nm0588438	1996
102	Mr. Wrong (1996)	Comedy	117102	3.8	5378	nm0145309	nm0001122|nm0000597|nm0000349|nm0001777|nm0687506	1996
103	Unforgettable (1996)	Mystery|Sci-Fi|Thriller	118040	6.0	6027	nm0001093	nm0000501|nm0000400|nm0001075|nm0001520|nm0001601	1996
104	Happy Gilmore (1996)	Comedy	116483	7.0	250369	nm0240797	nm0001191|nm0001520|nm0100866|nm0062844|nm0001835	1996
105	Bridges of Madison County, The (1995)	Drama|Romance	112579	7.6	89382	nm0000142	nm0000142|nm0000658|nm0179960|nm0805789|nm0371579	1995
106	Nobody Loves Me (Keiner liebt mich) (1994)	Comedy|Drama	110251	7.2	1247	nm0246903	nm0775056|nm0762997|nm0901908|nm0873142|nm0622581	1994
107	Muppet Treasure Island (1996)	Adventure|Children|Comedy|Musical	117110	6.9	26682	nm0005008	nm0000347|nm0175262|nm0766837|nm0084107|nm0324397	1996
108	Catwalk (1996)	Documentary	112646	7.0	370	nm0494889		1996
110	Braveheart (1995)	Action|Drama|War	112573	8.3	1094851	nm0000154	nm0000154|nm0000521|nm0001526|nm0005171|nm0732703	1995
111	Taxi Driver (1976)	Crime|Drama|Thriller	75314	8.2	925600	nm0000217	nm0000134|nm0000149|nm0001732|nm0000983|nm0007958	1976
112	Rumble in the Bronx (Hont faan kui) (1995)	Action|Adventure|Comedy|Crime	113326	6.7	46211	nm0867262	nm0000329|nm0611315|nm0948123|nm0876603|nm0015224	1995
113	Before and After (1996)	Drama|Mystery	115645	6.1	10030	nm0775447	nm0000658|nm0000553|nm0000411|nm0919733|nm0000547	1996
116	Anne Frank Remembered (1995)	Documentary	112373	8.1	1357	nm0086282	nm0000110|nm0000335	1995
117	Young Poisoner's Handbook, The (1995)	Crime|Drama	115033	7.0	3828	nm0743239	nm0640560|nm0792029|nm0036653|nm0790689|nm0516181	1995
118	If Lucy Fell (1996)	Comedy|Romance	116606	4.9	4334	nm0769703	nm0000572|nm0769703|nm0001774|nm0000512|nm0714310	1996
119	Steal Big, Steal Little (1995)	Comedy	114536	4.7	1090	nm0001112	nm0000412|nm0000412|nm0000273|nm0001797|nm0001592	1995
121	Boys of St. Vincent, The (1992)	Drama	106473	7.5	1988	nm0808807	nm0001089|nm0605601|nm0233188|nm0227767|nm0230063	1992
122	Boomerang (1992)	Comedy|Romance	103859	5.6	31473	nm0399737	nm0000552|nm0002101|nm0000932|nm0004979|nm0001454	1992
123	Chungking Express (Chung Hing sam lam) (1994)	Drama|Mystery|Romance	109424	8.0	96579	nm0939182	nm0510857|nm0437580|nm0504897|nm0910947|nm0159513	1994
125	Flirting With Disaster (1996)	Comedy	116324	6.7	20033	nm0751102	nm0001774|nm0000099|nm0000495|nm0001546|nm0001719	1996
126	NeverEnding Story III, The (1994)	Adventure|Children|Fantasy	110647	3.2	12476	nm0003423	nm0725284|nm0443139|nm0085312|nm0278092|nm0093174	1994
128	Jupiter's Wife (1994)	Documentary	110217	7.1	250	nm0624516		1994
129	Pie in the Sky (1996)	Comedy|Romance	114131	5.8	902	nm0330057	nm0001038|nm0000162|nm0000422|nm0001441|nm0002056	1996
132	Jade (1995)	Thriller	113451	5.3	14312	nm0001243	nm0000325|nm0000400|nm0001590|nm0001077|nm0000299	1995
135	Down Periscope (1996)	Comedy	116130	6.2	26844	nm0911486	nm0001288|nm0000452|nm0001705|nm0001765|nm0001136	1996
137	Man of the Year (1995)	Documentary	113756	5.9	348	nm0787257	nm0840066|nm0650355|nm0058786|nm0825566	1995
140	Up Close and Personal (1996)	Drama|Romance	118055	6.1	15359	nm0000816	nm0000602|nm0000201|nm0000330|nm0001505|nm0625075	1996
141	Birdcage, The (1996)	Comedy	115685	7.2	101277	nm0001566	nm0000245|nm0001447|nm0000432|nm0001848|nm0001246	1996
144	Brothers McMullen, The (1995)	Comedy	112585	6.6	8209	nm0122653	nm0611673|nm0569458|nm0122653|nm0122653|nm0016589	1995
145	Bad Boys (1995)	Action|Comedy|Crime|Drama|Thriller	112442	6.8	288783	nm0000881	nm0000226|nm0001454|nm0102288|nm0848075|nm0944687	1995
146	Amazing Panda Adventure, The (1995)	Adventure|Children	112342	5.7	4431	nm0128883	nm0002332|nm0805429|nm0227629|nm0270505|nm0955741	1995
147	Basketball Diaries, The (1995)	Drama	112461	7.3	121585	nm0436284	nm0000138|nm0000966|nm0812427|nm0534944|nm0569011	1995
148	Awfully Big Adventure, An (1995)	Drama	112427	5.8	3029	nm0001565	nm0000424|nm0000614|nm0146061|nm0035605|nm0278752	1995
149	Amateur (1994)	Crime|Drama|Thriller	109093	6.8	7119	nm0001325	nm0001376|nm0233027|nm0530581|nm0949433|nm0599745	1994
150	Apollo 13 (1995)	Adventure|Drama|IMAX	112384	7.7	316867	nm0000165	nm0000158|nm0000200|nm0000102|nm0000641|nm0000438	1995
151	Rob Roy (1995)	Action|Drama|Romance|War	114287	6.9	45843	nm0001994	nm0000553|nm0001448|nm0000457|nm0000619|nm0000655	1995
152	Addiction, The (1995)	Drama|Horror	112288	6.4	11590	nm0001206	nm0000666|nm0000686|nm0001711|nm0004908|nm0129538	1995
153	Batman Forever (1995)	Action|Adventure|Comedy|Crime	112462	5.4	267337	nm0001708	nm0000174|nm0000174|nm0000169|nm0000169|nm0000120	1995
154	Beauty of the Day (Belle de jour) (1967)	Drama	61395	7.6	49278	nm0000320	nm0000366|nm0000366|nm0814799|nm0681566|nm0656180	1967
155	Beyond Rangoon (1995)	Adventure|Drama|War	112495	6.5	5467	nm0000958	nm0000099|nm0461931|nm0000531|nm0336960|nm0415103	1995
156	Blue in the Face (1995)	Comedy|Drama	112541	6.6	10157	nm0000808|nm0911061|nm0910905	nm0000172|nm0715563|nm0000150|nm0001683|nm0330917	1995
157	Canadian Bacon (1995)	Comedy|War	109370	5.9	18019	nm0601619	nm0001006|nm0000257|nm0674231|nm0001629|nm0001800	1995
158	Casper (1995)	Adventure|Children	112642	6.2	147364	nm0797869	nm0000597|nm0000207|nm0001550|nm0001385|nm0503140	1995
159	Clockers (1995)	Crime|Drama|Mystery	112688	6.9	23599	nm0000490	nm0000172|nm0001806|nm0005148|nm0001616|nm0913460	1995
160	Congo (1995)	Action|Adventure|Mystery|Sci-Fi	112715	5.3	48838	nm0550881	nm0001473|nm0000347|nm0909620|nm0001368|nm0381416	1995
161	Crimson Tide (1995)	Drama|Thriller|War	112740	7.3	123895	nm0001716	nm0000432|nm0000243|nm0002023|nm0001169|nm0001557	1995
162	Crumb (1994)	Documentary	109508	8.0	21670	nm0959062		1994
163	Desperado (1995)	Action|Romance|Western	112851	7.1	198285	nm0001675	nm0000104|nm0000161|nm0021835|nm0001507|nm0000114	1995
164	Devil in a Blue Dress (1995)	Crime|Film-Noir|Mystery|Thriller	112857	6.8	24572	nm0002083	nm0000243|nm0001744|nm0000884|nm0000332|nm0001999	1995
165	Die Hard: With a Vengeance (1995)	Action|Crime|Thriller	112864	7.6	409434	nm0001532	nm0000246|nm0000460|nm0000168|nm0001295|nm0131974	1995
166	Doom Generation, The (1995)	Comedy|Crime|Drama	112887	6.1	17967	nm0000777	nm0001166|nm0000535|nm0000628|nm0930317|nm0700681	1995
168	First Knight (1995)	Action|Drama|Romance	113071	6.0	78978	nm0958387	nm0000125|nm0000152|nm0000566|nm0002027|nm0192377	1995
169	Free Willy 2: The Adventure Home (1995)	Adventure|Children|Drama	113114	5.1	19627	nm0514546	nm0725284|nm0000514|nm0135584|nm0770788|nm0770763	1995
170	Hackers (1995)	Action|Adventure|Crime|Thriller	113243	6.2	75317	nm0812200	nm0001538|nm0001401|nm0103038|nm0000498|nm0556808	1995
171	Jeffrey (1995)	Comedy|Drama	113464	6.8	6784	nm2259353	nm0001836|nm0919117|nm0414772|nm0147296|nm0861513	1995
172	Johnny Mnemonic (1995)	Action|Sci-Fi|Thriller	113481	5.6	76438	nm0519434	nm0000206|nm0000185|nm0000539|nm0001384|nm0001429	1995
173	Judge Dredd (1995)	Action|Crime|Sci-Fi	113492	5.6	125313	nm0134176	nm0000230|nm0000800|nm0001705|nm0001638|nm0001884	1995
174	Jury Duty (1995)	Comedy	113500	4.3	8797	nm0287198	nm0001736|nm0000119|nm0001804|nm0236519|nm0001820	1995
175	Kids (1995)	Drama	113540	7.0	84980	nm0164187	nm0280559|nm0682399|nm0001721|nm1344991|nm0150954	1995
176	Living in Oblivion (1995)	Comedy	113677	7.5	20253	nm0001139	nm0000114|nm0001416|nm0000551|nm0903272|nm0001457	1995
177	Lord of Illusions (1995)	Horror	113690	6.0	19345	nm0000850	nm0000836|nm0640413|nm0249460|nm0901926|nm0490225	1995
178	Love & Human Remains (1993)	Comedy|Drama	107447	6.6	2839	nm0000780	nm0004959|nm0551154|nm0051621|nm0000477|nm0889120	1993
179	Mad Love (1995)	Drama|Romance	113729	5.3	7003	nm0000944	nm0000563|nm0000106|nm0000498|nm0149708|nm0618913	1995
180	Mallrats (1995)	Comedy|Romance	113749	7.0	129145	nm0003620	nm0001147|nm0518718|nm0005134|nm0001231|nm0000255	1995
181	Mighty Morphin Power Rangers: The Movie (1995)	Action|Children	113820	5.3	30108	nm0818465	nm0039074|nm0039074|nm0097765|nm0097765|nm0136399	1995
183	Mute Witness (1994)	Comedy|Horror|Thriller	110604	6.7	6832	nm0909026	nm0958461|nm0728004|nm0724084|nm0946160|nm0901522	1994
184	Nadja (1994)	Drama	110620	6.0	3464	nm0021899	nm0530581|nm0001228|nm0001228|nm0711846|nm0311297	1994
185	Net, The (1995)	Action|Crime|Thriller	113957	6.0	74089	nm0005563	nm0000113|nm0000562|nm0588222|nm0000832|nm0311092	1995
186	Nine Months (1995)	Comedy|Romance	113986	5.5	38674	nm0001060	nm0000424|nm0000194|nm0000792|nm0000349|nm0000156	1995
187	Party Girl (1995)	Comedy	114095	6.5	6836	nm0902939	nm0000205|nm0870168|nm1338532|nm0659397|nm0220867	1995
188	Prophecy, The (1995)	Fantasy|Horror|Mystery	114194	6.4	33464	nm0927074	nm0000686|nm0000480|nm0000515|nm0000655|nm0001557	1995
189	Reckless (1995)	Comedy|Fantasy	114241	5.1	521	nm0720000	nm0001201|nm0001282|nm0057546|nm0373840|nm1764044	1995
190	Safe (1995)	Thriller	114323	7.1	17338	nm0001331	nm0000194|nm0075359|nm0606487|nm0121313|nm0267235	1995
191	Scarlet Letter, The (1995)	Drama|Romance	114345	5.3	16332	nm0423646	nm0000193|nm0000198|nm0000380|nm0427104|nm0362570	1995
193	Showgirls (1995)	Drama	114436	5.1	75029	nm0000682	nm0000924|nm0001492|nm0000153|nm0687625|nm0001108	1995
194	Smoke (1995)	Comedy|Drama	114478	7.4	38296	nm0911061	nm0000172|nm0000458|nm0002064|nm0002064|nm0959242	1995
195	Something to Talk About (1995)	Comedy|Drama|Romance	114496	5.7	15870	nm0002120	nm0000210|nm0000598|nm0000380|nm0001687|nm0001718	1995
196	Species (1995)	Horror|Sci-Fi	114508	5.9	85565	nm0002044	nm0000449|nm0000514|nm0001426|nm0000547|nm0001845	1995
198	Strange Days (1995)	Action|Crime|Drama|Mystery|Sci-Fi|Thriller	114558	7.2	78677	nm0000941	nm0000146|nm0000291|nm0000496|nm0001744|nm0000699	1995
199	Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)	Drama|Musical|Romance	58450	7.8	31539	nm0218840	nm0000366|nm0144875|nm0894636|nm0584879|nm0267833	1964
201	Three Wishes (1995)	Drama|Fantasy	114663	6.1	3278	nm0004838	nm0000664|nm0001512|nm0001515|nm0612622|nm0335344	1995
202	Total Eclipse (1995)	Drama|Romance	114702	6.5	16815	nm0002140	nm0000138|nm0000667|nm0001960|nm0086924|nm0127523	1995
203	To Wong Foo, Thanks for Everything! Julie Newmar (1995)	Comedy	114682	6.7	36875	nm0452319	nm0000648|nm0000664|nm0000491|nm0000330|nm0001100	1995
204	Under Siege 2: Dark Territory (1995)	Action	114781	5.5	50344	nm0614276	nm0000219|nm0091899|nm0569239|nm0001337|nm0004820	1995
205	Unstrung Heroes (1995)	Comedy|Drama	114798	6.7	3271	nm0000473	nm0000510|nm0001806|nm0724245|nm0001999|nm0915008	1995
206	Unzipped (1995)	Documentary	114805	6.5	1189	nm0444857		1995
207	Walk in the Clouds, A (1995)	Drama|Romance	114887	6.7	36735	nm0000778	nm0000206|nm0845209|nm0000063|nm0316284|nm0032793	1995
208	Waterworld (1995)	Action|Adventure|Sci-Fi	114898	6.3	210817	nm0721817	nm0000126|nm0000675|nm0000454|nm0001499|nm0320581	1995
209	White Man's Burden (1995)	Drama	114928	5.3	5201	nm0620290	nm0000237|nm0000896|nm0001488|nm0001923|nm0101005	1995
210	Wild Bill (1995)	Western	114938	5.8	7921	nm0001353	nm0000313|nm0000289|nm0000457|nm0000178|nm0001018	1995
211	Browning Version, The (1994)	Drama	109340	7.2	3585	nm0001214	nm0001215|nm0000627|nm0000546|nm0001696|nm0002091	1994
212	Bushwhacked (1995)	Adventure|Comedy|Crime|Mystery	112602	5.6	6909	nm0066439	nm0827663|nm0689237|nm0837976|nm0235652|nm0372217	1995
213	Burnt by the Sun (Utomlyonnye solntsem) (1994)	Drama	111579	7.8	16383	nm0586482	nm0586482|nm0200848|nm0579823|nm0586486|nm0863146	1994
214	Before the Rain (Pred dozhdot) (1994)	Drama|War	110882	7.9	15911	nm0541391	nm0001020|nm0784884|nm0171499|nm0430847|nm0216658	1994
215	Before Sunrise (1995)	Drama|Romance	112471	8.1	341256	nm0000500	nm0000160|nm0000365|nm0248600|nm0702541|nm0115690	1995
216	Billy Madison (1995)	Comedy	112508	6.4	157315	nm0205542	nm0001191|nm0569000|nm0933098|nm0925966|nm0609215	1995
217	Babysitter, The (1995)	Drama|Thriller	112438	4.3	6025	nm0272704	nm0000224|nm0518718|nm0000687|nm0307600|nm0441588	1995
218	Boys on the Side (1995)	Comedy|Drama	112571	6.5	14208	nm0006889	nm0000155|nm0000571|nm0000106|nm0000190|nm0001664	1995
219	Cure, The (1995)	Drama	112757	7.7	10739	nm0005022	nm0001515|nm0000605|nm0250643|nm0294070|nm0694241	1995
220	Castle Freak (1995)	Horror	112643	5.9	10381	nm0002340	nm0001062|nm0186225|nm0298268|nm0231142|nm0764936	1995
